Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Tyler Naquin","CLE",183,36,7,0,3,6,42,0.233082706,0.541353383,"Tyler Naquin",13359,571980
"Austin Barnes","LAD",238,32,5,0,4,31,67,0.261538461,0.538461538,"Austin Barnes",12158,605131
"Juan Soto","WSN",494,73,25,1,22,79,99,0.288025889,0.537216828,"Juan Soto",20123,665742
"José Pirela","SDP",473,79,23,2,5,30,89,0.257142857,0.534285714,"Jose Pirela",5485,517369
"Yandy Díaz","CLE",120,26,5,2,1,11,19,0.233333333,0.533333333,"Yandy Diaz",16578,650490
"Victor Caratini","CHC",200,33,7,0,2,12,42,0.242857142,0.528571428,"Victor Caratini",14968,605170
"Tommy La Stella","CHC",192,36,8,0,1,17,27,0.232394366,0.528169014,"Tommy La Stella",12371,600303
"Willy Adames","TBR",323,63,7,0,10,31,95,0.304123711,0.520618556,"Willy Adames",15986,642715
"Willson Contreras","CHC",544,76,27,5,10,53,121,0.307471264,0.520114942,"Willson Contreras",11609,575929
"Lewis Brinson","MIA",406,50,10,5,11,17,120,0.312977099,0.519083969,"Lewis Brinson",14352,621446
"Brian Anderson","MIA",670,112,34,4,11,62,129,0.285097192,0.518358531,"Brian Anderson",18289,605119
"Christian Yelich","MIL",651,110,34,7,36,68,135,0.235159817,0.51826484,"Christian Yelich",11477,592885
"Max Stassi","HOU",250,29,13,0,8,23,74,0.306122448,0.517006802,"Max Stassi",10059,545358
"Charlie Culberson","ATL",322,48,18,2,12,21,85,0.280193236,0.516908212,"Charlie Culberson",3298,518586
"David Freese","- - -",312,58,12,2,11,24,72,0.260663507,0.516587677,"David Freese",9549,501896
"Jean Segura","SEA",632,136,29,3,10,32,69,0.292069632,0.514506769,"Jean Segura",5933,516416
"Jake Lamb","ARI",238,32,8,0,6,26,65,0.308219178,0.51369863,"Jake Lamb",13329,571875
"Eric Young Jr.","LAA",117,15,4,2,1,6,28,0.256410256,0.512820512,"Eric Young Jr.",7158,458913
"Ketel Marte","ARI",580,83,26,12,14,54,79,0.290249433,0.512471655,"Ketel Marte",13613,606466
"Brock Holt","BOS",367,62,18,2,7,37,73,0.245967741,0.512096774,"Brock Holt",9345,571788
"Russell Martin","TOR",352,38,8,0,10,56,82,0.347826086,0.512077294,"Russell Martin",4616,431145
"Isiah Kiner-Falefa","TEX",396,69,18,2,4,28,62,0.23549488,0.511945392,"Isiah Kiner-Falefa",16512,643396
"Michael A. Taylor","WSN",385,49,22,3,6,29,116,0.305676855,0.51091703,"Michael A. Taylor",11489,572191
"Abraham Almonte","KCR",151,18,1,2,3,15,36,0.354166666,0.510416666,"Abraham Almonte",5486,501659
"Joe Mauer","MIN",543,103,27,1,6,51,86,0.221393034,0.509950248,"Joe Mauer",1857,408045
"Starlin Castro","MIA",647,119,32,2,12,48,124,0.288421052,0.509473684,"Starlin Castro",4579,516770
"Cedric Mullins","BAL",191,27,9,0,4,17,37,0.370967741,0.508064516,"Cedric Mullins",17929,656775
"Daniel Robertson","TBR",340,49,16,0,9,43,77,0.304347826,0.507246376,"Daniel Robertson",14145,621002
"Hanley Ramirez","BOS",195,32,7,0,6,14,35,0.340277777,0.506944444,"Hanley Ramirez",8001,434670
"Albert Almora Jr.","CHC",479,97,24,1,5,24,83,0.290858725,0.506925207,"Albert Almora Jr.",14109,546991
"David Peralta","ARI",614,104,25,5,30,48,124,0.292237442,0.506849315,"David Peralta",2136,444482
"Starling Marte","PIT",606,98,32,5,20,35,109,0.322072072,0.506756756,"Starling Marte",9241,516782
"Victor Reyes","DET",219,38,5,3,1,5,46,0.236024844,0.50310559,"Victor Reyes",15487,622682
"Pablo Sandoval","SFG",252,37,10,1,9,19,52,0.296089385,0.502793296,"Pablo Sandoval",5409,467055
"Shin-Soo Choo","TEX",665,96,30,1,21,92,156,0.27970297,0.502475247,"Shin-Soo Choo",3174,425783
"Hunter Pence","SFG",248,37,11,1,4,11,59,0.292134831,0.5,"Hunter Pence",8252,452254
"J.D. Davis","HOU",113,15,2,0,1,10,29,0.283783783,0.5,"J.D. Davis",16219,605204
"Andrelton Simmons","LAA",600,120,26,5,11,35,44,0.311154598,0.499021526,"Andrelton Simmons",10847,592743
"Elvis Andrus","TEX",428,72,20,3,6,28,66,0.311178247,0.498489425,"Elvis Andrus",8709,462101
"Devon Travis","TOR",378,55,14,3,11,16,64,0.290102389,0.498293515,"Devon Travis",13862,581527
"Kevin Kiermaier","TBR",367,44,12,9,7,25,91,0.308016877,0.497890295,"Kevin Kiermaier",11038,595281
"Mallex Smith","TBR",544,103,27,10,2,47,98,0.254010695,0.497326203,"Mallex Smith",13608,605480
"DJ LeMahieu","COL",581,98,32,2,15,37,82,0.294759825,0.495633187,"DJ LeMahieu",9874,518934
"Amed Rosario","NYM",592,99,26,8,9,29,119,0.295871559,0.495412844,"Amed Rosario",15518,642708
"Roberto Pérez","CLE",210,18,9,1,2,21,70,0.355140186,0.495327102,"Roberto Perez",2900,547379
"George Springer","HOU",620,96,26,0,22,64,122,0.345882352,0.494117647,"George Springer",12856,543807
"Austin Wynns","BAL",118,22,2,0,4,5,25,0.282352941,0.494117647,"Austin Wynns",15271,642851
"James Adduci","DET",185,34,8,2,3,6,45,0.325757575,0.492424242,"James Adduci",6448,451192
"Maikel Franco","PHI",465,77,17,1,22,29,62,0.336898395,0.491978609,"Maikel Franco",12179,596748
"Franmil Reyes","SDP",285,48,9,0,16,24,80,0.298342541,0.491712707,"Franmil Reyes",14566,614177
"Delino DeShields","TEX",393,55,14,1,2,43,83,0.318965517,0.49137931,"Delino DeShields",11379,592261
"Alex Avila","ARI",234,19,6,0,7,37,90,0.29245283,0.490566037,"Alex Avila",7476,488671
"Adam Frazier","PIT",352,53,23,2,10,29,53,0.313207547,0.490566037,"Adam Frazier",15223,624428
"Trea Turner","WSN",740,128,27,6,19,69,132,0.33076923,0.490384615,"Trea Turner",16252,607208
"Eduardo Núñez","BOS",502,91,23,3,10,16,69,0.323671497,0.490338164,"Eduardo Nunez",6848,456488
"Ryan Zimmerman","WSN",323,40,21,2,13,30,55,0.336170212,0.489361702,"Ryan Zimmerman",4220,475582
"Kolten Wong","STL",407,59,18,2,9,31,60,0.312056737,0.489361702,"Kolten Wong",12532,543939
"Roman Quinn","PHI",143,22,6,4,2,10,35,0.326086956,0.489130434,"Roman Quinn",13546,596451
"Domingo Santana","MIL",235,36,14,1,5,20,77,0.277372262,0.489051094,"Domingo Santana",10348,570267
"Yolmer Sánchez","CHW",662,93,34,10,8,49,138,0.292307692,0.487912087,"Yolmer Sanchez",11602,570560
"Logan Forsythe","- - -",416,68,16,0,2,41,83,0.321799307,0.487889273,"Logan Forsythe",7185,523253
